"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","86","1","16","0","0","0","0","0","1","16","5"
"10m","16","1","63","0","0","0","0","0","1","16","5"
"20m","38","3","16","0","0","0","0","0","1","63","4"
"30m","3","1","38","0","0","0","0","0","1","16","1"
"40m","38","1","86","0","0","0","0","0","1","3","2.5"
"50m","3","1","63","3","2","0","0","0","1","38","2.5"
"60m","63","1","16","0","0","0","0","0","0","16","4"
"70m","16","1","16","1","1","0","0","0","1","38","5"
"80m","86","0","3","0","0","0","0","0","1","16","2.5"
"90m","38","1","16","0","0","0","0","0","1","16","2"
