"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","3","0","0","0","0","0","1","16","1.5"
"10m","63","0","3","0","0","0","0","0","1","38","2"
"20m","38","0","38","0","0","0","0","0","0","16","1.5"
"30m","63","1","38","0","0","0","0","1","0","16","4"
"40m","63","0","38","0","0","0","0","0","1","38","2"
"50m","86","1","38","0","0","0","0","0","0","16","1.5"
"60m","86","3","16","0","0","0","0","3","0","3","3"
"70m","16","0","38","0","0","0","0","0","3","38","0.5"
"80m","3","0","86","0","0","0","0","16","1","3","2.5"
"90m","86","1","1","0","0","0","0","0","1","16","5"
