"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","38","0","38","0","0","0","0","0","1","63","2"
"10m","38","0","38","0","0","0","0","0","1","63","3"
"20m","38","1","63","0","0","0","0","0","1","38","2"
"30m","63","0","16","0","0","0","0","0","0","63","4"
"40m","63","0","16","0","0","0","0","0","0","63","5"
"50m","38","0","16","0","0","0","0","0","1","63","6"
"60m","63","0","16","0","0","0","0","0","0","63","4"
"70m","16","0","16","0","0","0","0","0","1","86","3"
"80m","63","0","16","0","0","0","0","0","0","38","7"
"90m","38","0","38","0","0","0","0","0","0","63","7.5"
