"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","38","0","0","0","0","0","1","16","5"
"10m","38","63","16","0","0","0","0","0","1","16","2.5"
"20m","38","0","63","0","0","0","0","0","3","16","2.5"
"30m","16","0","38","0","0","0","0","0","3","38","2"
"40m","16","0","63","0","0","0","0","0","1","86","1"
"0m","38","0","38","0","0","0","0","0","1","16","2"
"10m","38","0","16","3","1","0","0","0","1","63","2.5"
"20m","3","0","63","0","0","0","0","0","3","16","3"
"30m","38","0","38","0","0","0","0","0","3","86","3"
"40m","86","1","38","3","2","0","0","0","0","38","8"
"50m","98","0","16","3","1","0","0","0","0","38","4"
"60m","16","0","63","3","2","0","0","0","3","38","2.5"
"70m","16","0","38","3","1","0","0","0","3","63","4.5"
"80m","16","0","38","0","0","0","0","0","1","63","5.5"
"90m","63","0","63","0","0","0","0","0","1","16","1.5"
"50m","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
