"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","3","0","86","3","1","0","0","0","0","16","3.5"
"10m","16","0","98","16","2","0","0","0","1","3","2.5"
"20m","16","0","86","16","2","0","0","0","3","3","2.5"
"30m","38","0","16","0","0","0","0","0","3","16","3.5"
"40m","16","0","63","16","2","0","0","0","3","3","2"
"0m","16","0","63","3","1","0","0","0","0","38","3"
"10m","63","0","38","3","2","0","0","0","0","16","4"
"20m","3","0","86","0","0","0","0","0","1","3","3"
"30m","1","0","98","0","0","0","0","0","1","38","4.5"
"40m","1","0","98","0","0","0","0","0","1","16","3"
