"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","86","0","38","0","0","0","0","0","1","3","0.5"
"10m","86","0","38","0","0","0","0","0","3","1","0.5"
"20m","63","0","16","0","0","0","0","0","1","63","1.5"
"30m","86","0","38","0","0","0","0","0","1","3","0.5"
"40m","63","0","38","0","0","0","0","0","1","16","5"
"50m","38","0","38","0","0","0","0","0","1","63","2"
"60m","63","0","38","0","0","0","0","0","1","16","2"
"70m","16","0","38","0","0","0","0","0","1","38","3"
"80m","63","0","3","0","0","0","0","0","0","63","4.5"
"90m","16","0","3","0","0","0","0","63","1","16","2.5"
