"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","38","0","0","0","0","0","3","63","4.5"
"10m","63","3","38","0","0","0","0","0","1","16","2"
"20m","86","0","16","0","0","0","0","0","1","38","2"
"30m","63","0","0","3","0","1","0","0","1","16","3"
"40m","38","0","63","0","0","0","0","0","0","38","3.5"
"50m","86","0","16","0","0","0","0","0","0","63","2"
"60m","86","0","16","0","0","0","0","0","3","16","4"
"70m","63","0","38","0","0","0","0","0","1","38","2.5"
"80m","63","0","16","0","0","0","0","0","3","16","5"
"90m","38","0","38","0","0","0","0","0","1","16","5.5"
