"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","38","0","0","0","0","0","3","16","4"
"10m","38","0","38","0","0","0","0","0","3","16","3"
"20m","86","0","16","0","0","0","0","0","1","38","4"
"30m","38","0","63","0","0","0","0","0","1","16","4.5"
"40m","16","0","63","0","0","0","0","0","16","16","2"
"50m","86","0","16","0","0","0","0","0","16","38","3"
"60m","38","0","16","0","0","0","0","0","3","63","4"
"70m","63","0","16","0","0","0","0","0","1","63","3.5"
"80m","86","0","16","3","2","0","0","0","3","38","2.5"
"90m","16","0","38","0","0","0","0","0","1","3","3.5"
