"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","16","3","1","0","0","0","1","38","5"
"10m","86","0","16","0","0","0","0","0","1","16","3"
"20m","63","0","16","0","0","0","0","1","0","38","3.5"
"30m","38","38","38","0","0","0","0","0","1","16","2"
"40m","63","38","16","1","1","0","0","0","1","16","1.5"
"50m","38","0","16","0","0","0","0","3","1","38","2"
"60m","63","3","3","0","0","0","0","0","1","38","6.5"
"70m","16","0","63","0","0","0","0","0","1","16","8"
"80m","86","16","3","0","0","0","0","0","1","16","2.5"
"90m","63","0","38","0","0","0","0","3","3","38","4.5"
