"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","86","0","38","0","0","0","0","0","3","16","4"
"10m","16","0","86","0","0","0","0","0","16","38","2.5"
"20m","86","0","16","0","0","0","0","0","3","38","4.5"
"30m","16","0","63","0","0","0","0","0","16","38","2"
"40m","16","0","63","0","0","0","0","0","3","16","2"
"50m","16","0","38","0","0","0","0","0","16","38","3"
"60m","86","0","3","0","0","0","0","0","3","38","3.5"
"70m","63","0","16","0","0","0","0","0","3","16","3.5"
"80m","38","0","16","3","1","0","0","0","1","16","2"
"90m","38","0","16","0","0","0","0","0","3","38","3.5"
