"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","63","0","16","3","1","0","0","0","3","16","2"
"10m","16","0","63","0","0","0","0","0","1","3","3"
"20m","38","3","63","0","0","0","0","0","1","16","2"
"30m","63","16","38","0","0","0","0","0","1","16","1"
"40m","38","38","38","0","0","0","0","0","1","16","2.5"
"50m","38","0","63","0","0","0","0","0","3","38","3"
"60m","38","38","63","3","1","0","0","0","1","38","5"
"70m","16","16","63","0","0","0","0","0","3","16","2"
"80m","16","38","38","0","0","0","0","0","3","16","1"
"90m","63","0","38","0","0","0","0","0","3","38","2.5"
