"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","16","16","86","0","0","0","0","0","1","3","2"
"10m","16","38","16","0","0","0","0","0","1","16","2"
"20m","3","16","38","0","0","0","0","0","1","16","2"
"30m","16","16","38","0","0","0","0","0","0","16","2.5"
"40m","38","38","38","0","0","0","0","0","3","16","3.5"
"50m","16","16","38","0","0","0","0","0","3","38","4"
"60m","16","38","16","0","0","0","0","0","1","86","4"
"70m","3","63","38","0","0","0","0","0","3","38","2"
"80m","63","16","38","0","0","0","0","0","3","16","3"
"90m","86","0","38","0","0","0","0","0","1","16","3.5"
"0m","86","0","3","0","0","0","0","16","3","3","3"
"10m","86","0","3","0","0","0","0","0","1","16","1"
"20m","38","0","16","0","0","0","0","38","1","16","3"
"30m","63","0","3","0","0","0","0","63","0","3","2"
"40m","98","0","3","0","0","0","0","38","1","16","2.5"
"50m","98","0","1","0","0","0","0","1","1","3","3.5"
"60m","86","0","16","0","0","0","0","1","1","16","4"
"70m","16","0","63","0","0","0","0","1","3","16","2"
"80m","98","0","3","0","0","0","0","0","3","16","3.5"
"90m","98","0","0","0","0","0","0","0","0","3","5"
