"section","csg","wsg","forbs","milkweed","common_ramet","swamp_ramet","butterfly_ramet","woody_species","bare_ground","leaf_litter","litter_depth"
"0m","16","0","86","0","0","0","0","0","3","16","2.5"
"10m","3","0","86","38","5","0","0","0","3","16","3"
"20m","38","0","63","16","1","0","0","0","3","38","2"
"30m","16","0","86","0","0","0","0","0","3","16","1"
"40m","98","0","16","3","2","0","0","0","1","16","3.5"
"50m","63","0","63","3","2","0","0","0","1","16","2"
"60m","38","38","38","0","0","0","0","0","3","38","2"
"70m","38","0","86","3","2","0","0","0","3","16","2.5"
"80m","16","0","38","16","4","0","0","0","1","63","1.5"
"90m","38","0","63","0","0","0","0","0","3","16","1"
